選手名,年度,タイトル,リーグ
菅野　智之,2024,最優秀選手（MVP）,せ
近藤　健介,2024,最優秀選手（MVP）,ぱ
長岡　秀樹,2024,最多安打,せ
辰己　涼介,2024,最多安打,ぱ
近本　光司,2024,盗塁王,せ
周東　佑京,2024,盗塁王,ぱ
Ｔ．オースティン,2024,首位打者,せ
近藤　健介,2024,首位打者,ぱ
村上　宗隆,2024,本塁打王,せ
山川　穂高,2024,本塁打王,ぱ
村上　宗隆,2024,打点王,せ
山川　穂高,2024,打点王,ぱ
Ｄ．サンタナ,2024,最高出塁率,せ
近藤　健介,2024,最高出塁率,ぱ
山本　祐大,2024,ベストナイン,せ
岡本　和真,2024,ベストナイン,せ
吉川　尚輝,2024,ベストナイン,せ
村上　宗隆,2024,ベストナイン,せ
長岡　秀樹,2024,ベストナイン,せ
Ｄ．サンタナ,2024,ベストナイン,せ
細川　成也,2024,ベストナイン,せ
近本　光司,2024,ベストナイン,せ
山本　祐大,2024,ゴールデングラブ,せ
岡本　和真,2024,ゴールデングラブ,せ
吉川　尚輝,2024,ゴールデングラブ,せ
坂本　勇人,2024,ゴールデングラブ,せ
矢野　雅哉,2024,ゴールデングラブ,せ
秋山　翔吾,2024,ゴールデングラブ,せ
岡林　勇希,2024,ゴールデングラブ,せ
近本　光司,2024,ゴールデングラブ,せ
佐藤　都志也,2024,ベストナイン,ぱ
山川　穂高,2024,ベストナイン,ぱ
小深田　大翔,2024,ベストナイン,ぱ
栗原　陵矢,2024,ベストナイン,ぱ
今宮　健太,2024,ベストナイン,ぱ
辰己　涼介,2024,ベストナイン,ぱ
近藤　健介,2024,ベストナイン,ぱ
周東　佑京,2024,ベストナイン,ぱ
Ｆ．レイエス,2024,ベストナイン,ぱ
甲斐　拓也,2024,ゴールデングラブ,ぱ
山川　穂高,2024,ゴールデングラブ,ぱ
小深田　大翔,2024,ゴールデングラブ,ぱ
栗原　陵矢,2024,ゴールデングラブ,ぱ
源田　壮亮,2024,ゴールデングラブ,ぱ
辰己　涼介,2024,ゴールデングラブ,ぱ
周東　佑京,2024,ゴールデングラブ,ぱ
万波　中正,2024,ゴールデングラブ,ぱ
,2025,最優秀選手（MVP）,せ
,2025,最優秀選手（MVP）,ぱ
岡林　勇希,2025,最多安打,せ
村林　一輝,2025,最多安打,ぱ
近本　光司,2025,盗塁王,せ
周東　佑京,2025,盗塁王,ぱ
小園　海斗,2025,首位打者,せ
牧原　大成,2025,首位打者,ぱ
佐藤　輝明,2025,本塁打王,せ
Ｆ．レイエス,2025,本塁打王,ぱ
佐藤　輝明,2025,打点王,せ
Ｆ．レイエス,2025,打点王,ぱ
小園　海斗,2025,最高出塁率,せ
柳町 達,2025,最高出塁率,ぱ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
,2025,ベストナイン,せ
坂本　誠志朗,2025,ゴールデングラブ,せ
大山　悠輔,2025,ゴールデングラブ,せ
中野　拓夢,2025,ゴールデングラブ,せ
佐藤　輝明,2025,ゴールデングラブ,せ
泉口　友汰,2025,ゴールデングラブ,せ
岡林　勇希,2025,ゴールデングラブ,せ
近本　光司,2025,ゴールデングラブ,せ
森下　翔太,2025,ゴールデングラブ,せ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
,2025,ベストナイン,ぱ
若月　健矢,2025,ゴールデングラブ,ぱ
Ｔ．ネビン,2025,ゴールデングラブ,ぱ
牧原　大成　,2025,ゴールデングラブ,ぱ
村林　一輝,2025,ゴールデングラブ,ぱ
紅林　弘太郎,2025,ゴールデングラブ,ぱ
周東　佑京,2025,ゴールデングラブ,ぱ
辰巳　涼介,2025,ゴールデングラブ,ぱ
西川　愛也,2025,ゴールデングラブ,ぱ
村上　頌樹,2023,最優秀選手（MVP）,せ
山本　由伸,2023,最優秀選手（MVP）,ぱ
中野　拓夢,2023,最多安打,せ
柳田　悠岐,2023,最多安打,ぱ
近本　光司,2023,盗塁王,せ
周東　佑京,2023,盗塁王,ぱ
宮﨑　敏郎,2023,首位打者,せ
頓宮　裕真,2023,首位打者,ぱ
岡本　和真,2023,本塁打王,せ
浅村　栄斗,2023,本塁打王,ぱ
牧　秀悟,2023,打点王,せ
近藤　健介,2023,打点王,ぱ
大山　悠輔,2023,最高出塁率,せ
近藤　健介,2023,最高出塁率,ぱ
大城　卓三,2023,ベストナイン,せ
大山　悠輔,2023,ベストナイン,せ
牧　秀悟,2023,ベストナイン,せ
宮﨑　敏郎,2023,ベストナイン,せ
木浪　聖也,2023,ベストナイン,せ
近本　光司,2023,ベストナイン,せ
西川　龍馬,2023,ベストナイン,せ
岡林　勇希,2023,ベストナイン,せ
坂本　誠志郎,2023,ゴールデングラブ,せ
大山　悠輔,2023,ゴールデングラブ,せ
中野　拓夢,2023,ゴールデングラブ,せ
宮﨑　敏郎,2023,ゴールデングラブ,せ
木浪　聖也,2023,ゴールデングラブ,せ
近本　光司,2023,ゴールデングラブ,せ
岡林　勇希,2023,ゴールデングラブ,せ
桑原　将志,2023,ゴールデングラブ,せ
森　友哉,2023,ベストナイン,ぱ
頓宮　裕真,2023,ベストナイン,ぱ
浅村　栄斗,2023,ベストナイン,ぱ
宗　佑磨,2023,ベストナイン,ぱ
紅林　弘太郎,2023,ベストナイン,ぱ
近藤　健介,2023,ベストナイン,ぱ
万波　中正,2023,ベストナイン,ぱ
柳田　悠岐,2023,ベストナイン,ぱ
Ｇ．ポランコ,2023,ベストナイン,ぱ
若月　健矢,2023,ゴールデングラブ,ぱ
中村　晃,2023,ゴールデングラブ,ぱ
中村　奨吾,2023,ゴールデングラブ,ぱ
宗　佑磨,2023,ゴールデングラブ,ぱ
源田　壮亮,2023,ゴールデングラブ,ぱ
辰己　涼介,2023,ゴールデングラブ,ぱ
万波　中正,2023,ゴールデングラブ,ぱ
近藤　健介,2023,ゴールデングラブ,ぱ
牧　秀悟,2023,最多安打,せ
小深田　大翔,2023,盗塁王,ぱ
近藤　健介,2023,本塁打王,ぱ
Ｇ．ポランコ,2023,本塁打王,ぱ
